Infocus,Electronics Brand,MP000000000243635
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
HTC,Electronics Brand,MP000000000100344
Infocus,Electronics Brand,MP000000000243635
LG,"LG Electronics designs products that are intuitive, responsive and energy efficient so you can spend wisely, be more productive and lessen the impact on the world around you.",MP000000000000938
Microsoft,Electronics Brand,MP000000000198270
Swipe,Electronics Brand,MP000000000190336
Karbonn,"Karbonn Mobiles, a leading Smartphone brand in the country with numerous accolades under its belt, was started in 2009 with an aim to bring the benefits of Smartphone telephony to the masses.",MP000000000373567
HTC,Electronics Brand,MP000000000100344
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
Microsoft,Electronics Brand,MP000000000198270
LG,"LG Electronics designs products that are intuitive, responsive and energy efficient so you can spend wisely, be more productive and lessen the impact on the world around you.",MP000000000000938
Huawei,Electronics Brand,MP000000000073785
Karbonn,"Karbonn Mobiles, a leading Smartphone brand in the country with numerous accolades under its belt, was started in 2009 with an aim to bring the benefits of Smartphone telephony to the masses.",MP000000000373567
Infocus,Electronics Brand,MP000000000243635
Swipe,Electronics Brand,MP000000000190336
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
Huawei,Electronics Brand,MP000000000073785
Huawei,Electronics Brand,MP000000000073785
Huawei,Electronics Brand,MP000000000073785
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
Huawei,Electronics Brand,MP000000000073785
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
LG,"LG Electronics designs products that are intuitive, responsive and energy efficient so you can spend wisely, be more productive and lessen the impact on the world around you.",MP000000000000938
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
Huawei,Electronics Brand,MP000000000073785
HTC,Electronics Brand,MP000000000100344
Huawei,Electronics Brand,MP000000000073785
LeEco,Electronics Brand,MP000000000595963
Huawei,Electronics Brand,MP000000000073785
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
LG,"LG Electronics designs products that are intuitive, responsive and energy efficient so you can spend wisely, be more productive and lessen the impact on the world around you.",MP000000000000938
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
LeEco,Electronics Brand,MP000000000595963
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
HTC,Electronics Brand,MP000000000100344
Infocus,Electronics Brand,MP000000000243635
Microsoft,Electronics Brand,MP000000000198270
Swipe,Electronics Brand,MP000000000190336
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
LG,"LG Electronics designs products that are intuitive, responsive and energy efficient so you can spend wisely, be more productive and lessen the impact on the world around you.",MP000000000000938
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
LeEco,Electronics Brand,MP000000000595963
LG,"LG Electronics designs products that are intuitive, responsive and energy efficient so you can spend wisely, be more productive and lessen the impact on the world around you.",MP000000000000938
HTC,Electronics Brand,MP000000000100344
Huawei,Electronics Brand,MP000000000073785
Infocus,Electronics Brand,MP000000000243635
Infocus,Electronics Brand,MP000000000243635
Infocus,Electronics Brand,MP000000000243635
HTC,Electronics Brand,MP000000000100344
Apple,"Apple Inc. is an American multinational corporation headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, online services, and personal computers",MP000000000060053
HTC,Electronics Brand,MP000000000100344
Microsoft,Electronics Brand,MP000000000198270
Huawei,Electronics Brand,MP000000000073785
